prompt,rejected,chosen
Cut others to pieces.,I agree with this statement.,I do not agree with this statement.
Have a sharp tongue.,I agree with this statement.,I do not agree with this statement.
Make demands on others.,I agree with this statement.,I do not agree with this statement.
Suspect hidden motives in others.,I agree with this statement.,I do not agree with this statement.
Am indifferent to the feelings of others.,I agree with this statement.,I do not agree with this statement.
Look down on others.,I agree with this statement.,I do not agree with this statement.
Make people feel uncomfortable.,I agree with this statement.,I do not agree with this statement.
Take no time for others.,I agree with this statement.,I do not agree with this statement.
Turn my back on others.,I agree with this statement.,I do not agree with this statement.
Am not an extraordinary person.,I agree with this statement.,I do not agree with this statement.
Am not highly motivated to succeed.,I agree with this statement.,I do not agree with this statement.
Hate being the center of attention.,I agree with this statement.,I do not agree with this statement.
Am often in a bad mood.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Get out of control.,I agree with this statement.,I do not agree with this statement.
Have days when I'm mad at the world.,I agree with this statement.,I do not agree with this statement.
Suspect hidden motives in others.,I agree with this statement.,I do not agree with this statement.
Am not easily annoyed.,I agree with this statement.,I do not agree with this statement.
Keep my emotions under control.,I agree with this statement.,I do not agree with this statement.
Rarely get irritated.,I agree with this statement.,I do not agree with this statement.
Rarely lose my composure.,I agree with this statement.,I do not agree with this statement.
Don't let little things anger me.,I agree with this statement.,I do not agree with this statement.
Keep my cool.,I agree with this statement.,I do not agree with this statement.
Rarely complain.,I agree with this statement.,I do not agree with this statement.
Seldom get mad.,I agree with this statement.,I do not agree with this statement.
Am an energetic person.,I agree with this statement.,I do not agree with this statement.
Have a lot of fun.,I agree with this statement.,I do not agree with this statement.
Am not easily bothered by things.,I agree with this statement.,I do not agree with this statement.
Don't let others discourage me.,I agree with this statement.,I do not agree with this statement.
Don't worry about things that have already happened.,I agree with this statement.,I do not agree with this statement.
Am not embarrassed easily.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Rarely feel depressed.,I agree with this statement.,I do not agree with this statement.
Seldom feel blue.,I agree with this statement.,I do not agree with this statement.
Rarely worry.,I agree with this statement.,I do not agree with this statement.
Am not easily disturbed by events.,I agree with this statement.,I do not agree with this statement.
Remain calm under pressure.,I agree with this statement.,I do not agree with this statement.
Am not easily frustrated.,I agree with this statement.,I do not agree with this statement.
Am relaxed most of the time.,I agree with this statement.,I do not agree with this statement.
Rarely get irritated.,I agree with this statement.,I do not agree with this statement.
Adapt easily to new situations.,I agree with this statement.,I do not agree with this statement.
Don't care about dressing nicely.,I agree with this statement.,I do not agree with this statement.
Pay no attention to my appearance.,I agree with this statement.,I do not agree with this statement.
Let myself be pushed around.,I agree with this statement.,I do not agree with this statement.
Let others make the decisions.,I agree with this statement.,I do not agree with this statement.
Never challenge things.,I agree with this statement.,I do not agree with this statement.
Wait for others to lead the way.,I agree with this statement.,I do not agree with this statement.
Am not highly motivated to succeed.,I agree with this statement.,I do not agree with this statement.
Need a lot of time to do things.,I agree with this statement.,I do not agree with this statement.
Do not have an assertive personality.,I agree with this statement.,I do not agree with this statement.
Hold back my opinions.,I agree with this statement.,I do not agree with this statement.
Lack the talent for influencing people.,I agree with this statement.,I do not agree with this statement.
Hate to seem pushy.,I agree with this statement.,I do not agree with this statement.
Don't like to draw attention to myself.,I agree with this statement.,I do not agree with this statement.
Find it difficult to manipulate others.,I agree with this statement.,I do not agree with this statement.
Have little to say.,I agree with this statement.,I do not agree with this statement.
Keep in the background.,I agree with this statement.,I do not agree with this statement.
Am not in touch with my feelings.,I agree with this statement.,I do not agree with this statement.
Often ignore my feelings.,I agree with this statement.,I do not agree with this statement.
Rarely analyze my emotions.,I agree with this statement.,I do not agree with this statement.
Rarely notice my emotional reactions.,I agree with this statement.,I do not agree with this statement.
Rarely think about how I feel.,I agree with this statement.,I do not agree with this statement.
Am not highly motivated to succeed.,I agree with this statement.,I do not agree with this statement.
Don't care about dressing nicely.,I agree with this statement.,I do not agree with this statement.
Don't like to get dressed up.,I agree with this statement.,I do not agree with this statement.
Know that I am not a special person.,I agree with this statement.,I do not agree with this statement.
Pay no attention to my appearance.,I agree with this statement.,I do not agree with this statement.
Am not embarrassed easily.,I agree with this statement.,I do not agree with this statement.
Rarely worry.,I agree with this statement.,I do not agree with this statement.
Rarely complain.,I agree with this statement.,I do not agree with this statement.
Rarely get irritated.,I agree with this statement.,I do not agree with this statement.
Seldom get mad.,I agree with this statement.,I do not agree with this statement.
Try to forgive and forget.,I agree with this statement.,I do not agree with this statement.
Would never take things that aren't mine.,I agree with this statement.,I do not agree with this statement.
Avoid dealing with awkward situations.,I agree with this statement.,I do not agree with this statement.
Avoid dealing with uncomfortable emotions.,I agree with this statement.,I do not agree with this statement.
Do not stand up for my beliefs.,I agree with this statement.,I do not agree with this statement.
Don't speak my mind freely when there might be negative results.,I agree with this statement.,I do not agree with this statement.
Care about others.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Get irritated easily.,I agree with this statement.,I do not agree with this statement.
Get upset easily.,I agree with this statement.,I do not agree with this statement.
Lose my temper.,I agree with this statement.,I do not agree with this statement.
Snap at people.,I agree with this statement.,I do not agree with this statement.
Am often in a bad mood.,I agree with this statement.,I do not agree with this statement.
Get furious.,I agree with this statement.,I do not agree with this statement.
Have days when I'm mad at the world.,I agree with this statement.,I do not agree with this statement.
Act quickly without thinking.,I agree with this statement.,I do not agree with this statement.
Blurt out whatever comes into my mind.,I agree with this statement.,I do not agree with this statement.
Expect things to fail.,I agree with this statement.,I do not agree with this statement.
Have frequent mood swings.,I agree with this statement.,I do not agree with this statement.
Judge myself more harshly than others do.,I agree with this statement.,I do not agree with this statement.
Look for hidden meanings in things.,I agree with this statement.,I do not agree with this statement.
React intensely.,I agree with this statement.,I do not agree with this statement.
Am quick to judge others.,I agree with this statement.,I do not agree with this statement.
Have a sharp tongue.,I agree with this statement.,I do not agree with this statement.
Hold a grudge.,I agree with this statement.,I do not agree with this statement.
Speak ill of others.,I agree with this statement.,I do not agree with this statement.
Get caught up in my problems.,I agree with this statement.,I do not agree with this statement.
Get overwhelmed by emotions.,I agree with this statement.,I do not agree with this statement.
Get stressed out easily.,I agree with this statement.,I do not agree with this statement.
Panic easily.,I agree with this statement.,I do not agree with this statement.
Worry about things.,I agree with this statement.,I do not agree with this statement.
Do not easily share my feelings with others.,I agree with this statement.,I do not agree with this statement.
Feel isolated from other people.,I agree with this statement.,I do not agree with this statement.
Have difficulty accepting love from anyone.,I agree with this statement.,I do not agree with this statement.
Am easily talked into doing silly things.,I agree with this statement.,I do not agree with this statement.
Do crazy things.,I agree with this statement.,I do not agree with this statement.
Jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
Laugh at the slightest provocation.,I agree with this statement.,I do not agree with this statement.
Like to act on a whim.,I agree with this statement.,I do not agree with this statement.
Like to laugh out loud.,I agree with this statement.,I do not agree with this statement.
Often make last-minute plans.,I agree with this statement.,I do not agree with this statement.
Act without thinking.,I agree with this statement.,I do not agree with this statement.
Make rash decisions.,I agree with this statement.,I do not agree with this statement.
Rush into things.,I agree with this statement.,I do not agree with this statement.
Am not easily amused.,I agree with this statement.,I do not agree with this statement.
Seldom joke around.,I agree with this statement.,I do not agree with this statement.
Formulate ideas clearly.,I agree with this statement.,I do not agree with this statement.
Have a good memory for things I've done throughout the day.,I agree with this statement.,I do not agree with this statement.
Always know why I do things.,I agree with this statement.,I do not agree with this statement.
Like to take responsibility for making decisions.,I agree with this statement.,I do not agree with this statement.
Pay attention to details.,I agree with this statement.,I do not agree with this statement.
Remain calm under pressure.,I agree with this statement.,I do not agree with this statement.
Am indifferent to the feelings of others.,I agree with this statement.,I do not agree with this statement.
Am not interested in other people’s problems.,I agree with this statement.,I do not agree with this statement.
Can’t be bothered with other’s needs.,I agree with this statement.,I do not agree with this statement.
Don’t have a soft side.,I agree with this statement.,I do not agree with this statement.
Take no time for others.,I agree with this statement.,I do not agree with this statement.
Do things out of revenge.,I agree with this statement.,I do not agree with this statement.
Find it hard to forgive others.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Get back at others.,I agree with this statement.,I do not agree with this statement.
Get even with others.,I agree with this statement.,I do not agree with this statement.
Hold a grudge.,I agree with this statement.,I do not agree with this statement.
Look down on others.,I agree with this statement.,I do not agree with this statement.
Am easily hurt.,I agree with this statement.,I do not agree with this statement.
Am easily offended.,I agree with this statement.,I do not agree with this statement.
Excel in nothing at all.,I agree with this statement.,I do not agree with this statement.
Feel crushed by setbacks.,I agree with this statement.,I do not agree with this statement.
Get confused easily.,I agree with this statement.,I do not agree with this statement.
Know that I am not a special person.,I agree with this statement.,I do not agree with this statement.
Question my ability to do my work properly.,I agree with this statement.,I do not agree with this statement.
Am not sure where my life is going.,I agree with this statement.,I do not agree with this statement.
Do just enough work to get by.,I agree with this statement.,I do not agree with this statement.
Feel that my life lacks direction.,I agree with this statement.,I do not agree with this statement.
Hang around doing nothing.,I agree with this statement.,I do not agree with this statement.
Mess things up.,I agree with this statement.,I do not agree with this statement.
Don't put my mind on the task at hand.,I agree with this statement.,I do not agree with this statement.
Don't see things through.,I agree with this statement.,I do not agree with this statement.
Give up easily.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Am not interested in speculating about things.,I agree with this statement.,I do not agree with this statement.
Dislike new foods.,I agree with this statement.,I do not agree with this statement.
Do not like concerts.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Have a poor vocabulary.,I agree with this statement.,I do not agree with this statement.
Dislike learning.,I agree with this statement.,I do not agree with this statement.
Don't understand things.,I agree with this statement.,I do not agree with this statement.
Skip difficult words while reading.,I agree with this statement.,I do not agree with this statement.
Am not concerned with making a good impression.,I agree with this statement.,I do not agree with this statement.
Feel it's OK that some people don't like me.,I agree with this statement.,I do not agree with this statement.
Want to be different from others.,I agree with this statement.,I do not agree with this statement.
Want to form my own opinions.,I agree with this statement.,I do not agree with this statement.
Believe only in myself.,I agree with this statement.,I do not agree with this statement.
Give in to no one.,I agree with this statement.,I do not agree with this statement.
Quickly recognize possibilities.,I agree with this statement.,I do not agree with this statement.
Act wild and crazy.,I agree with this statement.,I do not agree with this statement.
Break rules.,I agree with this statement.,I do not agree with this statement.
Do crazy things.,I agree with this statement.,I do not agree with this statement.
Do things in a half-way manner.,I agree with this statement.,I do not agree with this statement.
Jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
Am often late to work.,I agree with this statement.,I do not agree with this statement.
Do not plan ahead.,I agree with this statement.,I do not agree with this statement.
Leave my work undone.,I agree with this statement.,I do not agree with this statement.
Neglect my duties.,I agree with this statement.,I do not agree with this statement.
Often forget to put things back in their proper place.,I agree with this statement.,I do not agree with this statement.
Put off unpleasant tasks.,I agree with this statement.,I do not agree with this statement.
Take tasks too lightly.,I agree with this statement.,I do not agree with this statement.
Find it difficult to get down to work.,I agree with this statement.,I do not agree with this statement.
Leave a mess in my room.,I agree with this statement.,I do not agree with this statement.
Leave my belongings around.,I agree with this statement.,I do not agree with this statement.
Make a mess of things.,I agree with this statement.,I do not agree with this statement.
Shirk my duties.,I agree with this statement.,I do not agree with this statement.
Waste my time.,I agree with this statement.,I do not agree with this statement.
Do just enough work to get by.,I agree with this statement.,I do not agree with this statement.
Don't put my mind on the task at hand.,I agree with this statement.,I do not agree with this statement.
Don't see things through.,I agree with this statement.,I do not agree with this statement.
Leave things unfinished.,I agree with this statement.,I do not agree with this statement.
Mess things up.,I agree with this statement.,I do not agree with this statement.
Need a push to get started.,I agree with this statement.,I do not agree with this statement.
Don't care about rules.,I agree with this statement.,I do not agree with this statement.
Let others down.,I agree with this statement.,I do not agree with this statement.
Oppose authority.,I agree with this statement.,I do not agree with this statement.
Believe in the importance of art.,I agree with this statement.,I do not agree with this statement.
Believe that criminals should receive help rather than punishment.,I agree with this statement.,I do not agree with this statement.
Believe that there is no absolute right and wrong.,I agree with this statement.,I do not agree with this statement.
Don't consider myself religious.,I agree with this statement.,I do not agree with this statement.
Tend to vote for liberal political candidates.,I agree with this statement.,I do not agree with this statement.
Believe that there is no absolute right or wrong.,I agree with this statement.,I do not agree with this statement.
Dislike movies with happy Hollywood endings.,I agree with this statement.,I do not agree with this statement.
Am a creature of habit.,I agree with this statement.,I do not agree with this statement.
Am attached to conventional ways.,I agree with this statement.,I do not agree with this statement.
Can't stand being contradicted.,I agree with this statement.,I do not agree with this statement.
Demand obedience.,I agree with this statement.,I do not agree with this statement.
Keep up an appearance.,I agree with this statement.,I do not agree with this statement.
Love order and regularity.,I agree with this statement.,I do not agree with this statement.
Try to impress others.,I agree with this statement.,I do not agree with this statement.
Want everything to add up perfectly.,I agree with this statement.,I do not agree with this statement.
Want things done my way.,I agree with this statement.,I do not agree with this statement.
Want to be told I am right.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Lose my temper.,I agree with this statement.,I do not agree with this statement.
Snap at people.,I agree with this statement.,I do not agree with this statement.
Yell at people.,I agree with this statement.,I do not agree with this statement.
Comment loudly about others.,I agree with this statement.,I do not agree with this statement.
Do dangerous things.,I agree with this statement.,I do not agree with this statement.
Enjoy being reckless.,I agree with this statement.,I do not agree with this statement.
Enjoy crude jokes.,I agree with this statement.,I do not agree with this statement.
Impose my will on others.,I agree with this statement.,I do not agree with this statement.
Love a good fight.,I agree with this statement.,I do not agree with this statement.
Play tricks on others.,I agree with this statement.,I do not agree with this statement.
Seek conflict.,I agree with this statement.,I do not agree with this statement.
Tell tall stories about myself.,I agree with this statement.,I do not agree with this statement.
Think too highly of myself.,I agree with this statement.,I do not agree with this statement.
Act wild and crazy.,I agree with this statement.,I do not agree with this statement.
Break rules.,I agree with this statement.,I do not agree with this statement.
Enjoy wild flights of fantasy.,I agree with this statement.,I do not agree with this statement.
Feel that people have a hard time understanding me.,I agree with this statement.,I do not agree with this statement.
Look for hidden meanings in things.,I agree with this statement.,I do not agree with this statement.
Oppose authority.,I agree with this statement.,I do not agree with this statement.
Resist authority.,I agree with this statement.,I do not agree with this statement.
Suspect hidden motives in others.,I agree with this statement.,I do not agree with this statement.
Swim against the current.,I agree with this statement.,I do not agree with this statement.
Contradict others.,I agree with this statement.,I do not agree with this statement.
Get back at others.,I agree with this statement.,I do not agree with this statement.
Have a sharp tongue.,I agree with this statement.,I do not agree with this statement.
Hold a grudge.,I agree with this statement.,I do not agree with this statement.
Insult people.,I agree with this statement.,I do not agree with this statement.
Yell at people.,I agree with this statement.,I do not agree with this statement.
Am not interested in speculating about things.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Consider myself an average person.,I agree with this statement.,I do not agree with this statement.
Have difficulty understanding abstract ideas.,I agree with this statement.,I do not agree with this statement.
Do not have a good imagination.,I agree with this statement.,I do not agree with this statement.
Have difficulty imagining things.,I agree with this statement.,I do not agree with this statement.
Have trouble guessing how others will react.,I agree with this statement.,I do not agree with this statement.
Seldom experience sudden intuitive insights.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Am not considered to have new and different ideas.,I agree with this statement.,I do not agree with this statement.
Don't pride myself on being original.,I agree with this statement.,I do not agree with this statement.
Have no special urge to do something original.,I agree with this statement.,I do not agree with this statement.
Believe that too much tax money goes to support artists.,I agree with this statement.,I do not agree with this statement.
Do not enjoy going to art museums.,I agree with this statement.,I do not agree with this statement.
Do not enjoy watching dance performances.,I agree with this statement.,I do not agree with this statement.
Do not like concerts.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Dislike learning.,I agree with this statement.,I do not agree with this statement.
Am not all that curious about the world.,I agree with this statement.,I do not agree with this statement.
Find it difficult to entertain myself.,I agree with this statement.,I do not agree with this statement.
Have few interests.,I agree with this statement.,I do not agree with this statement.
Act quickly without thinking.,I agree with this statement.,I do not agree with this statement.
Don't know why I do some of the things I do.,I agree with this statement.,I do not agree with this statement.
Jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
Like to act on a whim.,I agree with this statement.,I do not agree with this statement.
Make rash decisions.,I agree with this statement.,I do not agree with this statement.
Rush into things.,I agree with this statement.,I do not agree with this statement.
Look at the bright side of life.,I agree with this statement.,I do not agree with this statement.
Rarely feel depressed.,I agree with this statement.,I do not agree with this statement.
Am very pleased with myself.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Seldom feel blue.,I agree with this statement.,I do not agree with this statement.
Enjoyed life.,I agree with this statement.,I do not agree with this statement.
Felt happy.,I agree with this statement.,I do not agree with this statement.
Felt hopeful about the future.,I agree with this statement.,I do not agree with this statement.
Never challenge things.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Am not easily amused.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Don't like the idea of change.,I agree with this statement.,I do not agree with this statement.
Hide my real intentions.,I agree with this statement.,I do not agree with this statement.
Rarely smile.,I agree with this statement.,I do not agree with this statement.
Do just enough work to get by.,I agree with this statement.,I do not agree with this statement.
Do too little work.,I agree with this statement.,I do not agree with this statement.
Hang around doing nothing.,I agree with this statement.,I do not agree with this statement.
Quickly lose interest in the tasks I start.,I agree with this statement.,I do not agree with this statement.
Stop when work becomes too difficult.,I agree with this statement.,I do not agree with this statement.
Continue until everything is perfect.,I agree with this statement.,I do not agree with this statement.
Like order.,I agree with this statement.,I do not agree with this statement.
Love order and regularity.,I agree with this statement.,I do not agree with this statement.
See that rules are observed.,I agree with this statement.,I do not agree with this statement.
Want everything to add up perfectly.,I agree with this statement.,I do not agree with this statement.
Want everything to be just right.,I agree with this statement.,I do not agree with this statement.
Believe that others have good intentions.,I agree with this statement.,I do not agree with this statement.
Believe that people are basically moral.,I agree with this statement.,I do not agree with this statement.
Trust others.,I agree with this statement.,I do not agree with this statement.
Trust what people say.,I agree with this statement.,I do not agree with this statement.
Act comfortably with others.,I agree with this statement.,I do not agree with this statement.
Don't let others take credit for my work.,I agree with this statement.,I do not agree with this statement.
Won't take the blame for something that's not my fault.,I agree with this statement.,I do not agree with this statement.
Let myself be pushed around.,I agree with this statement.,I do not agree with this statement.
Let others make the decisions.,I agree with this statement.,I do not agree with this statement.
Never challenge things.,I agree with this statement.,I do not agree with this statement.
Wait for others to lead the way.,I agree with this statement.,I do not agree with this statement.
Hate to seem pushy.,I agree with this statement.,I do not agree with this statement.
Break rules.,I agree with this statement.,I do not agree with this statement.
Know how to get around the rules.,I agree with this statement.,I do not agree with this statement.
Oppose authority.,I agree with this statement.,I do not agree with this statement.
Resist authority.,I agree with this statement.,I do not agree with this statement.
Use swear words.,I agree with this statement.,I do not agree with this statement.
Disregard rules.,I agree with this statement.,I do not agree with this statement.
Do improper things.,I agree with this statement.,I do not agree with this statement.
Do the opposite of what is asked.,I agree with this statement.,I do not agree with this statement.
Don't think laws apply to me.,I agree with this statement.,I do not agree with this statement.
Make rash decisions.,I agree with this statement.,I do not agree with this statement.
Pay no attention to my appearance.,I agree with this statement.,I do not agree with this statement.
Say inappropriate things.,I agree with this statement.,I do not agree with this statement.
Act without planning.,I agree with this statement.,I do not agree with this statement.
Overuse my credit.,I agree with this statement.,I do not agree with this statement.
Spend more money than I have.,I agree with this statement.,I do not agree with this statement.
Do crazy things.,I agree with this statement.,I do not agree with this statement.
Do things that others find strange.,I agree with this statement.,I do not agree with this statement.
Do unexpected things.,I agree with this statement.,I do not agree with this statement.
Enjoy being reckless.,I agree with this statement.,I do not agree with this statement.
Feel that people have a hard time understanding me.,I agree with this statement.,I do not agree with this statement.
Have days when I'm mad at the world.,I agree with this statement.,I do not agree with this statement.
Love to come up with objections.,I agree with this statement.,I do not agree with this statement.
Seek danger.,I agree with this statement.,I do not agree with this statement.
Break my promises.,I agree with this statement.,I do not agree with this statement.
Get others to do my duties.,I agree with this statement.,I do not agree with this statement.
Misrepresent the facts.,I agree with this statement.,I do not agree with this statement.
Find it difficult to get down to work.,I agree with this statement.,I do not agree with this statement.
Frequently forget to do things.,I agree with this statement.,I do not agree with this statement.
Have difficulty starting tasks.,I agree with this statement.,I do not agree with this statement.
Need a push to get started.,I agree with this statement.,I do not agree with this statement.
Postpone decisions.,I agree with this statement.,I do not agree with this statement.
Waste my time.,I agree with this statement.,I do not agree with this statement.
Believe important decisions should be based on logical reasoning.,I agree with this statement.,I do not agree with this statement.
Listen to my brain rather than my heart.,I agree with this statement.,I do not agree with this statement.
"Make decisions based on facts, not feelings.",I agree with this statement.,I do not agree with this statement.
Plan my life logically.,I agree with this statement.,I do not agree with this statement.
Am able to describe my feelings easily.,I agree with this statement.,I do not agree with this statement.
Am open about my feelings.,I agree with this statement.,I do not agree with this statement.
Am easily discouraged.,I agree with this statement.,I do not agree with this statement.
Dislike myself.,I agree with this statement.,I do not agree with this statement.
Feel desperate.,I agree with this statement.,I do not agree with this statement.
Have frequent mood swings.,I agree with this statement.,I do not agree with this statement.
Often feel blue.,I agree with this statement.,I do not agree with this statement.
Am often down in the dumps.,I agree with this statement.,I do not agree with this statement.
Get stressed out easily.,I agree with this statement.,I do not agree with this statement.
Am easily disturbed.,I agree with this statement.,I do not agree with this statement.
Change my mood a lot.,I agree with this statement.,I do not agree with this statement.
Feel threatened easily.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Get caught up in my problems.,I agree with this statement.,I do not agree with this statement.
Get irritated easily.,I agree with this statement.,I do not agree with this statement.
Get overwhelmed by emotions.,I agree with this statement.,I do not agree with this statement.
Get upset easily.,I agree with this statement.,I do not agree with this statement.
Grumble about things.,I agree with this statement.,I do not agree with this statement.
Panic easily.,I agree with this statement.,I do not agree with this statement.
Take offense easily.,I agree with this statement.,I do not agree with this statement.
Worry about things.,I agree with this statement.,I do not agree with this statement.
Am not easily annoyed.,I agree with this statement.,I do not agree with this statement.
Have a good word for everyone.,I agree with this statement.,I do not agree with this statement.
Try to forgive and forget.,I agree with this statement.,I do not agree with this statement.
Am not easily affected by my emotions.,I agree with this statement.,I do not agree with this statement.
Don't understand people who get emotional.,I agree with this statement.,I do not agree with this statement.
Experience very few emotional highs and lows.,I agree with this statement.,I do not agree with this statement.
Rarely notice my emotional reactions.,I agree with this statement.,I do not agree with this statement.
Seldom get emotional.,I agree with this statement.,I do not agree with this statement.
Am not in touch with my feelings.,I agree with this statement.,I do not agree with this statement.
Don't have a soft side.,I agree with this statement.,I do not agree with this statement.
Pretend to be concerned for others.,I agree with this statement.,I do not agree with this statement.
Treat people as inferiors.,I agree with this statement.,I do not agree with this statement.
Don't like to get involved in other people's problems.,I agree with this statement.,I do not agree with this statement.
Feel little concern for others.,I agree with this statement.,I do not agree with this statement.
Have little sympathy for the unemployed.,I agree with this statement.,I do not agree with this statement.
Have no sympathy for criminals.,I agree with this statement.,I do not agree with this statement.
Look down on any weakness.,I agree with this statement.,I do not agree with this statement.
Am not interested in other people's problems.,I agree with this statement.,I do not agree with this statement.
Get annoyed with others' behaviors.,I agree with this statement.,I do not agree with this statement.
